Toimittaja;Osto
JULIUS OFÖRSAGD COMPANY OY;27745.03
JULKISTEN JA HYVINVOINTIALOJEN;96.0
JUNECAR OY;1064.0
JUNIPERUS COMPANY OY;80.0
JUNNIKKALA OY;1250.0
JUPERI OY;1480.0
JUSSI LJK OY/FINNWILD RIISTA;491.7
JUURUSSUON AUTOHUOLTO OY;678.0
JUUSON AUTO OY;2486.0
JYSK OY;679.63
JYVÄSKYLÄN AMMATTIKORKEAKOULU;365.0
JYVÄSKYLÄN KOULUTUSKUNTAYHTYMÄ;2313.0
JÖRÖ-JUKKA OY;100.0
K-S TURVAMIEHET OY;193.55
K-SUPERMARKET KEMPELE;199.17
K. SÄIKKÄLÄ OY;2000.0
K.A.RASMUSSEN OY;7298.45
KAARAKATSASTUS KP OY/PUDASJÄRV;55.78
KAARIKKA SANEERAUS OY;2925.95
KAHVIKUMPPANIT OY;87.0
KAIKO OY;782.64
KAILATEC OY;7829.929999999999
KAINUUN ENERGIAHUOLTO KUVAJA O;3881.29
KAINUUN TERÄHUOLTO OY;943.26
KAIREST OY;5288.51
KAJAANIN MAMSELLI-LIIKELAITOS;45.3
KAJAANIN METSÄKONEHUOLTO OY;4398.24
KAJAANIN SOTILASKOTIYHDISTYS R;420.0
KAKSOIS-ELOKUVAT KY;4697.86
KALAJOEN KYLPYLÄHOTELLI SANI;343.77
KALENTERIPISTE T. OJA KY;1068.57
KALEVA365 OY;47005.62
KALEVA365 OY/II;2263.93
KALEVI MALINEN OY;889.25
KALUSTEPALETTI OY;4031.36
KAMROCK OY;6672.0
KANKAAN TILA OY;492.0
KANKAANPÄÄN AUTOPURKAMO OY;1270.01
KANSAKOULUN TILA OY;492.0
KANSALLISKUSTANNUS OY;26.36
KARENTIA OY;432.0
KARILASSI OY;98.0
KARIPLAST OY;1102.22
KARJALAINEN & LAUKKANEN OY;3192.0
KARJALAINEN SERVICE OY;1184.0
KARL FISHER GMBH;782.39
KARTANONVÄKI OY;1720.0
KASVISHOVI OY;170230.96
KASVISHOVI OY / KOUL;4339.28
KATIN KOSMETIK OY;736.4200000000001
KATTOTUTKA OY;1808.0
KAUPPAPUUTARHA KUKKIVA KUNNAS;210.0
KEHITYSPARTNER PIRJO HAIKOLA K;3136.0
KEHITYSVAMMALIITTO R.Y.;956.0
KEKÄLE OY;207.0
KELLOLA ROCK OY;22369.81
KELTALAN KONEPALVELU KY;1372.0
KEMIN AUTOPALVELU OY;420.0
KEMIN SEURAKUNTA;160.0
KEMINMAAN AUTOJUSSIT OY;200.8
KEMINMAAN PUURAKENNE OY;8324.85
KEMIRA CHEMICALS OY;1808.0
KEMIRA OYJ OULU;880.0
KEMPELEEN AUTOKLINIKKA OY;2210.0
KEMPELEEN KOJEISTOTUOTE OY;2386.25
KEMPELEEN KONEHUOLTO OY;97.82
KEMPELEEN KUNTA;55405.62
KEMPELEEN SIIRTOKULJETUS OY;4656.53
KEMPELEEN VESIHUOLTO OY;42255.15
KEMPPI OY;4742.74
KERAVAN ENERGIA OY;900341.42
KERKO GROUP OY;317.56
KESKI-POHJANMAAN KOULUTUSYHTYM;1903.87
KESKI-UUDENMAAN KOULUTUSKUNTAY;1406.44
KESKINÄINEN VAKUUTUSYHTIÖ TURV;2700.0
KESKO OYJ;689512.03
KESKO OYJ/K-CITYMARKET;2637.02
KESTOOLS OY;866.98
KETTUMÄKI OY;6748.0
KEVA;11292890.51
KEYSTONE EDUCATION GROUP OY;17149.96
KH-NUOHOUS OY;84.66
KI-SAL OY;1670.96
KIEHISET OY;246.0
KIERTOA OY;18170.58
KIERTOKAARI OY;12509.119999999999
KIERTOKAARI OY/Koulutuskorvaus;560.0
KIIMINGIN KIEKKO-POJAT RY;1447.0
KIINTEISTÖ OY NAHKATEHTAAN-_x;41897.08
KIINTEISTÖHUOLTO JURVELIN OY;1190.0
KIINTEISTÖHUOLTO LEHTO KY;1080.0
KIINTEISTÖHUOLTO PAAVO SARKKIN;1470.0
KIINTEISTÖMEDIA OY;1686.12
KIINTEISTÖVÄLITYS GRAADI OY;362.9
KIITO-ÄSSÄT OY;1476.0
KILPIMAA VIEMÄRIHUOLTO OY;21971.47
KILT OY;1937.0
KISCO OY;385.0
KIWA IMPACT OY;887.0
KKP-TUOTANTO OY;6786.18
KL MECHANICS OY;1380.0
KL-KUSTANNUS OY;89.09
KLEMA OY;5630.0
